year,pct_downsizing05,pct_downsizing10
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
1986,,
